web_ply_multiplier,web_support_spacing_m,support_density_per_m,min_web_buckling_RF,added_web_laminate_mass_kg,blade_mass_excluding_supports_kg,feasible_screening
1.5,0.1,10.0,2.4368017144433116,679.474025662068,19065.703283337243,True
1.75,0.15,6.666666666666667,2.006383136582598,1086.887745252699,19473.117002927873,True
1.75,0.1,10.0,3.8695508706206283,1086.887745252699,19473.117002927873,True
2.0,0.25,4.0,1.5709910304916157,1358.948051324136,19745.17730899931,True
2.0,0.2,5.0,2.0215408396229577,1358.948051324136,19745.17730899931,True
2.0,0.15,6.666666666666667,2.9949509210795626,1358.948051324136,19745.17730899931,True
2.0,0.1,10.0,5.776122582384144,1358.948051324136,19745.17730899931,True
2.5,0.4,2.5,1.683587207369332,2038.4220769862043,20424.65133466138,True
2.5,0.3,3.3333333333333335,2.5903279771422127,2038.4220769862043,20424.65133466138,True
2.5,0.25,4.0,3.0683418564289378,2038.4220769862043,20424.65133466138,True
2.5,0.2,5.0,3.94832195238859,2038.4220769862043,20424.65133466138,True
2.5,0.15,6.666666666666667,5.849513517733523,2038.4220769862043,20424.65133466138,True
2.5,0.1,10.0,11.281489418719035,2038.4220769862043,20424.65133466138,True
3.0,0.5,2.0,1.8963871786932918,2717.896102648272,21104.125360323447,True
3.0,0.4,2.5,2.909238694334207,2717.896102648272,21104.125360323447,True
3.0,0.3,3.3333333333333335,4.476086744501743,2717.896102648272,21104.125360323447,True
3.0,0.25,4.0,5.302094727909204,2717.896102648272,21104.125360323447,True
3.0,0.2,5.0,6.822700333727485,2717.896102648272,21104.125360323447,True
3.0,0.15,6.666666666666667,10.107959358643527,2717.896102648272,21104.125360323447,True
3.0,0.1,10.0,19.494413715546493,2717.896102648272,21104.125360323447,True
1.0,0.5,2.0,0.07023656217382561,0.0,18386.229257675175,False
1.0,0.4,2.5,0.10774958127163728,0.0,18386.229257675175,False
1.0,0.3,3.3333333333333335,0.16578099053710155,0.0,18386.229257675175,False
1.0,0.25,4.0,0.19637387881145196,0.0,18386.229257675175,False
1.0,0.2,5.0,0.2526926049528697,0.0,18386.229257675175,False
1.0,0.15,6.666666666666667,0.37436886513494533,0.0,18386.229257675175,False
1.0,0.1,10.0,0.722015322798018,0.0,18386.229257675175,False
1.25,0.5,2.0,0.16648666589351252,407.4137195906308,18793.642977265805,False
1.25,0.4,2.5,0.25540641486610316,407.4137195906308,18793.642977265805,False
1.25,0.3,3.3333333333333335,0.3237909971427766,407.4137195906308,18793.642977265805,False
1.25,0.25,4.0,0.3835427320536172,407.4137195906308,18793.642977265805,False
1.25,0.2,5.0,0.4935402440485738,407.4137195906308,18793.642977265805,False
1.25,0.15,6.666666666666667,0.7311891897166903,407.4137195906308,18793.642977265805,False
1.25,0.1,10.0,1.4101861773398794,407.4137195906308,18793.642977265805,False
1.5,0.5,2.0,0.23704839733666147,679.474025662068,19065.703283337243,False
1.5,0.4,2.5,0.36365483679177585,679.474025662068,19065.703283337243,False
1.5,0.3,3.3333333333333335,0.5595108430627179,679.474025662068,19065.703283337243,False
1.5,0.25,4.0,0.6627618409886505,679.474025662068,19065.703283337243,False
1.5,0.2,5.0,0.8528375417159356,679.474025662068,19065.703283337243,False
1.5,0.15,6.666666666666667,1.2634949198304408,679.474025662068,19065.703283337243,False
1.75,0.5,2.0,0.43280029746926796,1086.887745252699,19473.117002927873,False
1.75,0.4,2.5,0.6639569105210611,1086.887745252699,19473.117002927873,False
1.75,0.3,3.3333333333333335,0.8884824961597787,1086.887745252699,19473.117002927873,False
1.75,0.25,4.0,1.0524412567551256,1086.887745252699,19473.117002927873,False
1.75,0.2,5.0,1.3542744296692864,1086.887745252699,19473.117002927873,False
2.0,0.5,2.0,0.5618924973906049,1358.948051324136,19745.17730899931,False
2.0,0.4,2.5,0.8619966501730982,1358.948051324136,19745.17730899931,False
2.0,0.3,3.3333333333333335,1.3262479242968124,1358.948051324136,19745.17730899931,False
2.5,0.5,2.0,1.0974462839660248,2038.4220769862043,20424.65133466138,False
