pitch_deg,Mflap_root_Nm,Medge_root_Nm,drag_total_N,Cl_mean,Cd_mean,alpha_mean_deg
0.0,22938762.619061198,1917035.2129311122,772161.6923727276,0.09751747938157387,1.2327468466200733,83.17164705882352
5.0,22409681.256619338,3924967.6078266404,752239.8390301404,0.19776170281264255,1.2061384364859604,78.17164705882354
10.0,21555278.28327212,5880715.685124565,722162.576971047,0.29529332489981547,1.1632807667753964,73.17164705882352
15.0,20400785.176904127,7732106.580770792,682822.1293433119,0.38750615558742396,1.1054419772659827,68.17164705882352
20.0,18980567.88171586,9433684.778946953,635392.6967409576,0.47213025006916554,1.0343461646154126,63.171647058823524
25.0,17337088.040816206,10948795.29218835,581294.9405938411,0.5473357387915586,0.9521212500334014,58.171647058823524
30.0,15519618.079159444,12251826.926312994,522152.9727858121,0.6118445898871154,0.8612345692119171,53.171647058823524
35.0,13582749.138361344,13330819.861801427,459745.15716509125,0.6650605919372939,0.764418139710858,48.171647058823524
40.0,11584737.16058719,14190876.737105059,395950.2166816022,0.7072397571070229,0.6645858747147474,43.171647058823524
45.0,9585737.338323385,14859316.653770866,332690.28257926286,0.7397488681606004,0.5647452568682308,38.171647058823524
50.0,7645980.540928962,15394675.775515478,271872.615050681,0.7655197925499939,0.46790615432569654,33.17164705882353
55.0,5972972.597742023,16336484.593732879,225633.61935968665,0.8199336304132445,0.3877423504136823,28.17164705882353
60.0,4400524.981862685,18367914.79842021,176044.2932328534,0.9133650487798064,0.30741736664481123,23.17164705882353
65.0,2980868.9563277303,21461990.843379337,129064.86110226047,1.0656105320588236,0.2357430029411764,18.17164705882353
70.0,1696991.3902490232,21229802.82242918,90258.81265389876,1.0471200608823528,0.17181808599999993,13.171647058823527
75.0,910441.1676966987,17840710.652020603,70107.25346586316,0.8785469564705882,0.1325791205882353,8.17164705882353
80.0,569689.8971950682,11720864.362295248,63226.204332200396,0.5870834764705879,0.11496015,3.1716470588235275
85.0,563193.3824292403,4304166.144526652,66759.6366536768,0.21567171176470576,0.11556253235294119,-1.828352941176471
90.0,795759.0939396769,-3071153.776106244,78874.48639341025,-0.15246504117647075,0.12851785588235295,-6.82835294117647
95.0,1267387.031726378,-9531573.197800888,99570.7535514007,-0.4615838882352943,0.1538261205882353,-11.828352941176474
100.0,1796302.235722053,-13736315.358380318,115278.98102489115,-0.6794216606611547,0.1774822483800432,-16.82835294117647
105.0,2499531.7577366424,-15277117.255011478,139622.22563155327,-0.761337488612364,0.21272986765624877,-21.828352941176473
110.0,3994937.452218476,-16628474.823373858,188310.50973685854,-0.8179951223412687,0.2862993669014045,-26.82835294117647
115.0,5650617.330141727,-16009259.46935084,242472.0796028849,-0.7957826393166733,0.37103786123920324,-31.828352941176462
120.0,7457737.584018168,-15483036.78205442,301328.3453615544,-0.77027109849727,0.4614395199016206,-36.82835294117647
125.0,9388229.685656423,-14948679.528758472,363569.27729742276,-0.7441800571235712,0.5579565097964221,-41.82835294117647
130.0,11383886.224487662,-14291059.151792392,427317.4225461752,-0.7117798096086252,0.6576771966552959,-46.828352941176476
135.0,13384569.93433809,-13447188.948846545,490651.006003886,-0.6699508277589918,0.7575949470105927,-51.82835294117647
140.0,15330037.130447367,-12386763.920952085,551662.2069618821,-0.6172036858926365,0.8546993056829586,-56.82835294117646
145.0,17161764.02736681,-11102500.06974484,608515.0014080643,-0.5531953035864625,0.9460672729054564,-61.82835294117646
150.0,18824720.47762157,-9604671.003021508,659500.8134435428,-0.47845633556146794,1.0289519091516603,-66.82835294117648
155.0,20269037.271057498,-7917546.740531163,703090.2859037415,-0.3942137649361037,1.1008655770457825,-71.82835294117648
160.0,21451516.371081296,-6076712.303231688,737979.5982526746,-0.30225733619654566,1.1596552927845512,-76.82835294117648
165.0,22336938.238193247,-4126787.998997806,763129.9255526718,-0.20482591395536479,1.2035678993382726,-81.82835294117648
170.0,22898814.067625996,-2119127.9519760604,777776.5549106527,-0.1044869858848013,1.2312799295666343,-86.82835294117648
175.0,23109002.007459857,-98927.21548313921,780962.8568436326,-0.003372040810039378,1.241369906560286,-91.82835294117648
180.0,22938762.619061206,1917035.2129311124,772161.6923727277,0.0975174793815739,1.2327468466200733,-96.82835294117648
