panel,load_case,width_m,x_over_c_zone,axial_strain,face_stress_Pa,applied_Nx_N_per_m,worst_a_over_b_in_sweep,governing_mode,critical_Nx_N_per_m,reserve_factor,margin_of_safety
LE_upper_sandwich,109MPa_reference,0.8024399149355272,0.01-0.15,0.0026076555023923447,72232057.41626795,433392.3444976077,3.575,global_buckling,717024.793751127,1.6544472989764243,0.6544472989764243
LE_upper_sandwich,beam_mapped,0.8024399149355272,0.01-0.15,0.0007086029935132875,19628302.920318063,117769.81752190838,3.575,global_buckling,717024.793751127,6.088357856356031,5.088357856356031
TE_upper_foam,109MPa_reference,1.3879939402728796,0.50-0.80,0.0026076555023923447,72232057.41626795,433392.3444976077,3.575,global_buckling,367532.1034792885,0.8480355228824705,-0.15196447711752947
TE_upper_foam,beam_mapped,1.3879939402728796,0.50-0.80,0.0007377313103224317,20435157.295931358,122610.94377558815,3.575,global_buckling,367532.1034792885,2.9975473001168123,1.9975473001168123
upper_spar_cap,109MPa_reference,0.8108039732531884,between_webs,0.0026076555023923447,109000000.00000001,7085000.000000001,1.3,global_buckling_RBS,27489917.836837847,3.8800166318754896,2.8800166318754896
upper_spar_cap,beam_mapped,0.8108039732531884,between_webs,0.001058284643028336,44236298.07858444,2875359.3751079887,1.3,global_buckling_RBS,27489917.836837847,9.5605154871486,8.5605154871486
