case_id,r_m,web,design_variant,split_method,split_error_percent,nominal_load_fraction,load_fraction,face_layers_each_side,core_thickness_m,A66_N_per_m,A66h_N,equivalent_total_shear_range_N,face_shear_range_MPa,curve_C_MPa,curve_b,curve_source,face_damage_20y_proxy,face_status,core_shear_range_MPa,core_damage_20y,core_fatigue_status
b9_split0,4.1,aft,fatigue_robust_final,stiffness_based,0.0,0.5449969493593655,0.5449969493593654,6,0.06,142920000.0,544090530.8837577,240723.97294784058,2.845275035456861,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",1.6387203709275916e-05,PASS,0.005304750066106012,5.540693454948319e-25,SOURCED_CURVE_PASS
b10_split_minus10,4.1,forward,fatigue_robust_final,stiffness_based,-10.0,0.45500305064063457,0.4095027455765711,5,0.06,119320000.0,454246306.640428,240723.97294784058,2.5607475319111757,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,3.618608484367973e-07,PASS,0.004774275059495413,1.5517209978167506e-25,SOURCED_CURVE_PASS
b10_split_minus10,4.1,aft,fatigue_robust_final,stiffness_based,-10.0,0.5449969493593655,0.5904972544234288,6,0.06,142920000.0,544090530.8837577,240723.97294784058,3.0828192680560167,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,2.3139534409894504e-06,PASS,0.0057476291438332515,1.459606417442179e-24,SOURCED_CURVE_PASS
b10_split_plus10,4.1,forward,fatigue_robust_final,stiffness_based,10.0,0.45500305064063457,0.5005033557046981,5,0.06,119320000.0,454246306.640428,240723.97294784058,3.129802539002549,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,2.6918035051698484e-06,PASS,0.005835225072716617,1.7522164761738772e-24,SOURCED_CURVE_PASS
b10_split_plus10,4.1,aft,fatigue_robust_final,stiffness_based,10.0,0.5449969493593655,0.49949664429530194,6,0.06,142920000.0,544090530.8837577,240723.97294784058,2.607730802857706,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,4.340118013963567e-07,PASS,0.0048618709883787746,1.9328459716628136e-25,SOURCED_CURVE_PASS
b9_split_minus10,4.1,forward,fatigue_robust_final,stiffness_based,-10.0,0.45500305064063457,0.4095027455765711,5,0.06,119320000.0,454246306.640428,240723.97294784058,2.5607475319111757,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",6.348738474390313e-06,PASS,0.004774275059495413,1.5517209978167506e-25,SOURCED_CURVE_PASS
b9_split_minus10,4.1,aft,fatigue_robust_final,stiffness_based,-10.0,0.5449969493593655,0.5904972544234288,6,0.06,142920000.0,544090530.8837577,240723.97294784058,3.0828192680560167,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",3.372245273544764e-05,PASS,0.0057476291438332515,1.459606417442179e-24,SOURCED_CURVE_PASS
b9_split_plus10,4.1,forward,fatigue_robust_final,stiffness_based,10.0,0.45500305064063457,0.5005033557046981,5,0.06,119320000.0,454246306.640428,240723.97294784058,3.129802539002549,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",3.8640169148234044e-05,PASS,0.005835225072716617,1.7522164761738772e-24,SOURCED_CURVE_PASS
b9_split_plus10,4.1,aft,fatigue_robust_final,stiffness_based,10.0,0.5449969493593655,0.49949664429530194,6,0.06,142920000.0,544090530.8837577,240723.97294784058,2.607730802857706,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",7.4774132785990936e-06,PASS,0.0048618709883787746,1.9328459716628136e-25,SOURCED_CURVE_PASS
nominal_b10_split0,6.8333,forward,fatigue_robust_final,stiffness_based,0.0,0.4476434763754907,0.4476434763754907,5,0.06,119320000.0,482172239.5489654,237363.21960841876,2.600312169122992,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,4.218216375373273e-07,PASS,0.004848039637347951,1.8674588573649617e-25,SOURCED_CURVE_PASS
nominal_b10_split0,6.8333,aft,fatigue_robust_final,stiffness_based,0.0,0.5523565236245094,0.5523565236245094,6,0.06,142920000.0,594962277.0825502,237363.21960841876,2.600312169122992,62.0,10.0,Conservative design envelope: C=62 MPa from MAT-002 static shear strength and b=10,4.218216375373273e-07,PASS,0.004848039637347951,1.8674588573649617e-25,SOURCED_CURVE_PASS
b9_split0,6.8333,forward,fatigue_robust_final,stiffness_based,0.0,0.4476434763754907,0.4476434763754907,5,0.06,119320000.0,482172239.5489654,237363.21960841876,2.600312169122992,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",7.288127605941515e-06,PASS,0.004848039637347951,1.8674588573649617e-25,SOURCED_CURVE_PASS
b9_split0,6.8333,aft,fatigue_robust_final,stiffness_based,0.0,0.5523565236245094,0.5523565236245094,6,0.06,142920000.0,594962277.0825502,237363.21960841876,2.600312169122992,62.0,9.0,"Estimated conservative envelope: measured Saertex VU 90079 R=-1 C_shear=78 MPa, b=9.709 rounded down to C=62 MPa, b=9",7.288127605941515e-06,PASS,0.004848039637347951,1.8674588573649617e-25,SOURCED_CURVE_PASS
