forward_layers_each_side,aft_layers_each_side,core_thickness_m,spanwise_zones_per_web,max_adjacent_layer_step,estimated_web_material_mass_kg,max_nominal_split_imbalance,max_face_D20_all_cases,max_core_D20_all_cases,status,selected
2,6,0.05,1,0,2762.680219332925,0.25269421702101547,15.238516252205127,5.682428901190964e-17,FAIL,False
2,6,0.06,1,0,2905.5054621535223,0.2521346084192664,14.916079282063528,5.5216319024207586e-17,FAIL,False
2,6,0.08,1,0,3191.1559477947167,0.2510230174085806,14.293699095496764,5.2146222542350025e-17,FAIL,False
2,6,0.1,1,0,3476.8064334359105,0.2499214797019742,13.700039895520746,4.9260107761450694e-17,FAIL,False
2,7,0.05,1,0,3013.4485262787175,0.2800713753452382,5.520829660765102,1.4544432443986507e-17,FAIL,False
2,7,0.06,1,0,3156.273769099314,0.2795180264130337,5.416342822933033,1.4176164580101485e-17,FAIL,False
2,7,0.08,1,0,3441.9242547405083,0.2784180397099236,5.213896491321906,1.3469558829331883e-17,FAIL,False
2,7,0.1,1,0,3727.574740381703,0.27732691114744046,5.019822875137212,1.2800931886243075e-17,FAIL,False
2,8,0.05,1,0,3264.216833224509,0.3019912686907652,2.2171970976821314,4.2747258975591134e-18,FAIL,False
2,8,0.06,1,0,3407.0420760451066,0.30145290799219815,2.1792409532887667,4.176792315498132e-18,FAIL,False
2,8,0.08,1,0,3692.692561686301,0.30038206875865925,2.1054754285316624,3.988134973977551e-18,FAIL,False
2,8,0.1,1,0,3978.343047327495,0.29931900125916044,2.03447381901703,3.808669821689073e-18,FAIL,False
2,9,0.05,1,0,3514.9851401703017,0.31993775150434345,0.9684887035779955,1.4063643959275686e-18,FAIL,False
2,9,0.06,1,0,3657.8103829908987,0.3194182716138573,0.9533541478599836,1.3769452167003092e-18,FAIL,False
2,9,0.08,1,0,3943.4608686320935,0.31838447582902935,0.9238670334271608,1.320086291824049e-18,FAIL,False
2,9,0.1,1,0,4229.111354273287,0.31735750852325645,0.8953898098154957,1.2657609476868595e-18,FAIL,False
2,10,0.05,1,0,3765.7534471160934,0.3349014283997011,0.4536456683773735,5.081590592131442e-19,PASS,False
2,10,0.06,1,0,3908.578689936691,0.33440224287986553,0.44712487358599906,4.983791467725283e-19,PASS,False
2,10,0.08,1,0,4194.229175577885,0.3334084235987518,0.4343934017471631,4.794252076780814e-19,PASS,False
2,10,0.1,1,0,4479.879661219079,0.3324206273525459,0.42206345358731273,4.612493245360591e-19,PASS,False
2,11,0.05,1,0,4016.521754061886,0.34756888107994754,0.22539847330843785,1.9873688004583439e-19,PASS,False
2,11,0.06,1,0,4159.346996882483,0.3470901121678692,0.22239901070810025,1.9519525621006834e-19,PASS,False
2,11,0.08,1,0,4444.997482523677,0.34613660638945276,0.21653222067417002,1.8831530925905198e-19,PASS,False
2,11,0.1,1,0,4730.647968164871,0.3451884390480209,0.21083688643803591,1.8169716434218289e-19,PASS,False
2,12,0.05,1,0,4267.290061007678,0.3584309903819448,0.11778766921071164,8.317093835179601e-20,PASS,False
2,12,0.06,1,0,4410.1153038282755,0.35797209244156813,0.11632851966880449,8.179096111244526e-20,PASS,False
2,12,0.08,1,0,4695.765789469469,0.3570578869415658,0.1134700878266181,7.910480325888387e-20,PASS,False
2,12,0.1,1,0,4981.416275110663,0.3561484374850295,0.11068948485305408,7.651390670519058e-20,PASS,False
3,2,0.05,1,0,2031.5790733273495,0.1406111386904435,1140.1106019496674,1.8615050928806753e-14,FAIL,False
3,2,0.06,1,0,2174.4043161479467,0.1402681669339319,1101.5401815348037,1.7774709672744717e-14,FAIL,False
3,2,0.08,1,0,2460.0548017891406,0.1395895466430213,1028.6816982181379,1.621483634759093e-14,FAIL,False
3,2,0.1,1,0,2745.7052874303354,0.1389205181346213,961.1486712198513,1.4802321800530328e-14,FAIL,False
3,3,0.05,1,0,2282.3473802731414,0.04492177858312796,164.0193847375758,1.3792518742324935e-15,FAIL,False
3,3,0.06,1,0,2425.172623093739,0.04492177858312796,159.57091283287446,1.3292770434132604e-15,FAIL,False
3,3,0.08,1,0,2710.823108734933,0.04492177858312796,151.07052046484065,1.2351096305330538e-15,FAIL,False
3,3,0.1,1,0,2996.473594376127,0.04492177858312796,143.07028781246066,1.1481230296927166e-15,FAIL,False
3,4,0.05,1,0,2533.115687218934,0.07775654426728218,40.55305241854937,2.1139124458792398e-16,FAIL,False
3,4,0.06,1,0,2675.940930039531,0.0775725634323679,39.597692863285175,2.0473404864881235e-16,FAIL,False
3,4,0.08,1,0,2961.591415680725,0.07720747458125754,37.76108517638814,1.9209063083440467e-16,FAIL,False
3,4,0.1,1,0,3247.2419013219196,0.0768461665705128,36.01864051351219,1.8028832691136745e-16,FAIL,False
3,5,0.05,1,0,2783.883994164726,0.1305105611789985,13.166515436489947,4.670256245717773e-17,FAIL,False
3,5,0.06,1,0,2926.709236985323,0.13022870811782206,12.892355914850715,4.5401972704531965e-17,FAIL,False
3,5,0.08,1,0,3212.3597226265174,0.12966885696835084,12.3628615078295,4.2916910563277684e-17,FAIL,False
3,5,0.1,1,0,3498.0102082677113,0.12911408746481778,11.857419845601799,4.0578460276815696e-17,FAIL,False
3,6,0.05,1,0,3034.6523011105182,0.17154667868873258,4.844565309720499,1.2204677134314507e-17,FAIL,False
3,6,0.06,1,0,3177.477543931115,0.1712125084725281,4.75418522498711,1.1900045974701576e-17,FAIL,False
