panel,load_case,a_over_b,a_m,applied_Nx_N_per_m,global_CLPT_Nx_N_per_m,global_shear_corrected_Nx_N_per_m,face_wrinkling_Nx_N_per_m,core_shear_crimping_Nx_N_per_m,face_compression_Nx_N_per_m,governing_mode,reserve_factor,margin_of_safety
LE_upper_sandwich,109MPa_reference,0.5,0.4012199574677636,433392.3444976077,2981454.72228097,939611.4442247525,1682652.061232267,1225000.0,2100000.0,global_buckling,2.1680388593710824,1.1680388593710824
LE_upper_sandwich,109MPa_reference,0.525,0.42128095534115184,433392.3444976077,2785802.055740068,919264.6425287927,1682652.061232267,1225000.0,2100000.0,global_buckling,2.1210910949394193,1.1210910949394193
LE_upper_sandwich,109MPa_reference,0.55,0.44134195321454,433392.3444976077,2617476.8388662245,900162.6950026467,1682652.061232267,1225000.0,2100000.0,global_buckling,2.077015679744236,1.0770156797442358
LE_upper_sandwich,109MPa_reference,0.575,0.4614029510879281,433392.3444976077,2471888.8061218862,882291.7657237997,1682652.061232267,1225000.0,2100000.0,global_buckling,2.035780689081069,1.035780689081069
LE_upper_sandwich,109MPa_reference,0.6,0.48146394896131633,433392.3444976077,2345383.6101320586,865626.6478204199,1682652.061232267,1225000.0,2100000.0,global_buckling,1.9973279611661394,0.9973279611661394
LE_upper_sandwich,109MPa_reference,0.625,0.5015249468347045,433392.3444976077,2235022.830261787,850133.6053081254,1682652.061232267,1225000.0,2100000.0,global_buckling,1.961579654328246,0.961579654328246
LE_upper_sandwich,109MPa_reference,0.65,0.5215859447080927,433392.3444976077,2138422.028280044,835772.7359173713,1682652.061232267,1225000.0,2100000.0,global_buckling,1.9284436989449056,0.9284436989449056
LE_upper_sandwich,109MPa_reference,0.675,0.5416469425814809,433392.3444976077,2053629.9844031564,822499.9055442454,1682652.061232267,1225000.0,2100000.0,global_buckling,1.8978182609517358,0.8978182609517358
LE_upper_sandwich,109MPa_reference,0.7,0.561707940454869,433392.3444976077,1979037.566799397,810268.3087024058,1682652.061232267,1225000.0,2100000.0,global_buckling,1.8695953423950673,0.8695953423950673
LE_upper_sandwich,109MPa_reference,0.725,0.5817689383282573,433392.3444976077,1913308.2064158176,799029.7087122825,1682652.061232267,1225000.0,2100000.0,global_buckling,1.8436636430173332,0.8436636430173332
LE_upper_sandwich,109MPa_reference,0.75,0.6018299362016455,433392.3444976077,1855324.315441467,788735.4080302563,1682652.061232267,1225000.0,2100000.0,global_buckling,1.8199107991733576,0.8199107991733576
LE_upper_sandwich,109MPa_reference,0.775,0.6218909340750336,433392.3444976077,1804145.6037509392,779336.9943188508,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7982251052963691,0.7982251052963691
LE_upper_sandwich,109MPa_reference,0.8,0.6419519319484218,433392.3444976077,1758976.3669759275,770786.902432575,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7784968106118213,0.7784968106118213
LE_upper_sandwich,109MPa_reference,0.825,0.6620129298218099,433392.3444976077,1719139.6053587159,763038.8269954711,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7606190711097878,0.7606190711097878
LE_upper_sandwich,109MPa_reference,0.8500000000000001,0.6820739276951983,433392.3444976077,1684056.3905712247,756048.0150144898,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7444886247146507,0.7444886247146507
LE_upper_sandwich,109MPa_reference,0.875,0.7021349255685864,433392.3444976077,1653229.298655363,749771.4631956422,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7300062465680701,0.7300062465680701
LE_upper_sandwich,109MPa_reference,0.9,0.7221959234419746,433392.3444976077,1626229.0184452613,744168.0403933538,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7170770315659363,0.7170770315659363
LE_upper_sandwich,109MPa_reference,0.925,0.7422569213153627,433392.3444976077,1602683.4584409038,739198.5519472387,1682652.061232267,1225000.0,2100000.0,global_buckling,1.7056105428076362,0.7056105428076362
LE_upper_sandwich,109MPa_reference,0.95,0.7623179191887508,433392.3444976077,1582268.833268392,734825.7595239007,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6955208573785894,0.6955208573785894
LE_upper_sandwich,109MPa_reference,0.9750000000000001,0.7823789170621391,433392.3444976077,1564702.329012914,731014.3674409426,1682652.061232267,1225000.0,2100000.0,global_buckling,1.686726534794566,0.6867265347945659
LE_upper_sandwich,109MPa_reference,1.0,0.8024399149355272,433392.3444976077,1549736.035706957,727730.9842521317,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6791505283641408,0.6791505283641408
LE_upper_sandwich,109MPa_reference,1.025,0.8225009128089154,433392.3444976077,1537151.902820871,724944.0665594881,1682652.061232267,1225000.0,2100000.0,global_buckling,1.6727200555419357,0.6727200555419357
