design,mass_kg,mass_delta_vs_reference_pct,tip_uop_m,tip_parked_fault_m,min_cap_RF,min_web_RF,min_shell_RF,worst_pitch_deg
glass,18386.229257675175,3.642780482949126,2.2024201559229843,4.9093987016933305,4.223063321694137,1.0060677225288088,2.83885475304013,175.0
hybrid,15013.330889725448,-15.370175367951244,2.1950935591341536,4.895005855148791,2.4457489751932098,1.0060677225288088,2.83885475304013,175.0
