case,direction,root_shear_N,root_moment_Nm,tip_displacement_m
U_op,flap,-262080.28878417623,-10148901.97693841,2.147331912075519
U_park_feather,flap,-105687.07465794895,-1100176.4411794709,0.05339700801893196
U_park_fault,flap,-1055769.8363153778,-31204318.70835877,4.8155514832732065
U_gravity,edge,-251186.0851353211,-4145000.0871381685,0.252043438575677
