direction,mode,frequency_hz
flap,1,1.50333210974383
flap,2,3.916918173771004
flap,3,7.864738317579632
flap,4,13.726180122952606
edge,1,1.8056653421334095
edge,2,5.112301108870641
edge,3,10.749274574359175
edge,4,19.32784133603212
